iter	MultiRMSE
0	3.124320968
1	3.075906019
2	3.030329202
3	2.985981513
4	2.943874842
5	2.903713451
6	2.86545012
7	2.828607446
8	2.793162624
9	2.759641427
10	2.727750103
11	2.69689623
12	2.668054236
13	2.639584422
14	2.613045361
15	2.587689198
16	2.56344472
17	2.540095875
18	2.517767749
19	2.49699758
20	2.476984285
21	2.457840575
22	2.439711376
23	2.422668786
24	2.406072395
25	2.390492759
26	2.37552444
27	2.360242752
28	2.345474677
29	2.33283977
30	2.319399492
31	2.307814285
32	2.296685791
33	2.286222809
34	2.276405789
35	2.266770094
36	2.25643137
37	2.247947574
38	2.239719406
39	2.231947391
40	2.224712044
41	2.217796166
42	2.209226869
43	2.202762987
44	2.196960425
45	2.189795969
46	2.182844964
47	2.176573007
48	2.169943787
49	2.164058118
50	2.158480095
51	2.154291694
52	2.149856663
53	2.145653548
54	2.140869415
55	2.136373935
56	2.132003456
57	2.128852375
58	2.125732109
59	2.121715673
60	2.118728527
61	2.115238075
62	2.111624359
63	2.109238614
64	2.106028214
65	2.102912536
66	2.099600188
67	2.096725198
68	2.094102987
69	2.091542473
70	2.089212638
71	2.086379662
72	2.083698022
73	2.081120684
74	2.079086202
75	2.07666539
76	2.074742269
77	2.072403558
78	2.070624751
79	2.06819983
80	2.066733027
81	2.063783226
82	2.062316742
83	2.060825406
84	2.058793623
85	2.057615867
86	2.055583901
87	2.054487292
88	2.053167864
89	2.052185844
90	2.050391186
91	2.04898162
92	2.047543303
93	2.046813505
94	2.045529786
95	2.044318797
96	2.043221315
97	2.041173803
98	2.03972287
99	2.038988638
100	2.037709385
101	2.036633376
102	2.034783061
103	2.033080355
104	2.03179319
105	2.030734135
106	2.030246207
107	2.029680904
108	2.02783341
109	2.02685099
110	2.025744541
111	2.024433012
112	2.023113477
113	2.02127982
114	2.019868002
115	2.018798907
116	2.017040134
117	2.015456744
118	2.015087422
119	2.013666635
120	2.012790829
121	2.011837625
122	2.010978309
123	2.00959921
124	2.008958061
125	2.008246422
126	2.007645013
127	2.006284099
128	2.005448215
129	2.004665623
130	2.003695778
131	2.002719059
132	2.002105948
133	2.000970499
134	1.999727171
135	1.999137261
136	1.998536182
137	1.997997559
138	1.996957696
139	1.996406304
140	1.995834234
141	1.994938206
142	1.994458029
143	1.993797613
144	1.992607652
145	1.991729415
146	1.99114769
147	1.990404586
148	1.989340346
149	1.988756621
150	1.987591052
151	1.986903015
152	1.985259225
153	1.984548066
154	1.983726972
155	1.982729709
156	1.981984867
157	1.981454355
158	1.980797153
159	1.979725655
160	1.978818138
161	1.978343494
162	1.977611563
163	1.97703198
164	1.975576611
165	1.975481373
166	1.974800167
167	1.973723191
168	1.97224279
169	1.971663922
170	1.971364286
171	1.970900031
172	1.970244108
173	1.969166018
174	1.968920062
175	1.968528114
176	1.968091649
177	1.967096655
178	1.966309197
179	1.965630749
180	1.965177651
181	1.964857103
182	1.964124287
183	1.963687125
184	1.963031594
185	1.961932177
186	1.961286699
187	1.960763746
188	1.960187579
189	1.959602947
190	1.958869846
191	1.958325793
192	1.957589068
193	1.956893954
194	1.95620877
195	1.955431544
196	1.954932554
197	1.954220135
198	1.953345372
199	1.952378355
200	1.951951458
201	1.95083914
202	1.950460072
203	1.950160255
204	1.949578474
205	1.949024653
206	1.948559833
207	1.948316511
208	1.947748172
209	1.947221526
210	1.946839585
211	1.946169704
212	1.945773829
213	1.945180791
214	1.944214146
215	1.943735247
216	1.943512292
217	1.942759944
218	1.942127723
219	1.941693138
220	1.941377085
221	1.940662904
222	1.940365706
223	1.939912423
224	1.938851828
225	1.938456742
226	1.937740699
227	1.937360279
228	1.937031469
229	1.936682908
230	1.93610046
231	1.935572343
