iter	MultiRMSE
0	3.610713258
1	3.563155249
2	3.518340831
3	3.474818342
4	3.433155274
5	3.393729113
6	3.355895469
7	3.319969037
8	3.286041999
9	3.253722111
10	3.222658317
11	3.193058595
12	3.16474502
13	3.13775493
14	3.112076688
15	3.087701255
16	3.064306297
17	3.042628113
18	3.021529717
19	3.001732495
20	2.983010312
21	2.965381653
22	2.948306912
23	2.932103023
24	2.916884323
25	2.902398449
26	2.888597614
27	2.874911358
28	2.862364006
29	2.850817385
30	2.838644377
31	2.828156233
32	2.818033016
33	2.808469328
34	2.799605292
35	2.790963603
36	2.7823767
37	2.774807959
38	2.767575104
39	2.760840871
40	2.754383934
41	2.748199453
42	2.742408712
43	2.736796795
44	2.731497319
45	2.726434481
46	2.721045231
47	2.715621313
48	2.711049052
49	2.706874196
50	2.702084813
51	2.698545449
52	2.694826714
53	2.690953304
54	2.687748882
55	2.683928608
56	2.681119531
57	2.678349536
58	2.674975957
59	2.672268406
60	2.669288945
61	2.666404253
62	2.664371369
63	2.661679535
64	2.65908049
65	2.656297969
66	2.654601069
67	2.65255043
68	2.650454704
69	2.648236092
70	2.646134338
71	2.643800011
72	2.642021833
73	2.640216936
74	2.638600751
75	2.637266891
76	2.635834435
77	2.634261804
78	2.632761026
79	2.631231407
80	2.630353632
81	2.628739845
82	2.627456123
83	2.62669954
84	2.625506064
85	2.624594925
86	2.623216434
87	2.621969645
88	2.62113164
89	2.619882933
90	2.618926216
91	2.617787204
92	2.616769054
93	2.616049587
94	2.614925248
95	2.614269177
96	2.613246105
97	2.612499736
98	2.611324256
99	2.610357617
100	2.60981276
101	2.608868029
102	2.608482206
103	2.607988956
104	2.60726919
105	2.606565408
106	2.605783379
107	2.605160426
108	2.604739715
109	2.604071485
110	2.602866975
111	2.602042636
112	2.601454498
113	2.600869084
114	2.600319875
115	2.599943738
116	2.599299476
117	2.598766294
118	2.597881104
119	2.597538959
120	2.596950582
121	2.596620849
122	2.596309934
123	2.595570141
124	2.595259544
125	2.59492336
126	2.594421063
127	2.593997789
128	2.593537587
129	2.592864672
130	2.592442182
131	2.591716983
132	2.591157687
133	2.590831106
134	2.590319119
135	2.590053811
136	2.589793718
137	2.589537542
138	2.589153241
139	2.58859126
140	2.588389619
141	2.587755218
142	2.58761823
143	2.58721705
144	2.586652621
145	2.586255702
146	2.585770266
147	2.585321739
148	2.584803214
149	2.584467563
150	2.584297825
151	2.583759085
152	2.58323246
153	2.582519504
154	2.582197366
155	2.581504834
156	2.581182889
157	2.580986708
158	2.580704042
159	2.580554294
160	2.580398389
161	2.580023696
162	2.579756773
163	2.579412262
164	2.579068852
165	2.578622597
166	2.578204784
167	2.577680992
168	2.577419607
169	2.577212791
170	2.576743599
171	2.576430048
172	2.5763437
173	2.57571938
174	2.575118707
175	2.574516549
176	2.574383381
177	2.573966377
178	2.573382744
179	2.5730293
180	2.572790118
181	2.572310618
182	2.572197259
183	2.571871723
184	2.571657638
185	2.571361586
186	2.571102889
187	2.570928627
188	2.570513974
189	2.56992712
190	2.569507371
191	2.569229246
192	2.568526368
193	2.568194831
194	2.56813002
195	2.567825342
196	2.567456905
197	2.567175641
198	2.567062983
199	2.566780223
200	2.56624514
201	2.566056347
202	2.565643864
203	2.565507452
204	2.565117836
205	2.564788948
206	2.564140741
207	2.563970992
208	2.563355803
209	2.56303449
210	2.562166518
211	2.561967372
212	2.561775548
213	2.561379844
214	2.56082424
215	2.560543077
216	2.560317598
217	2.560219653
