iter	Passed	Remaining
0	3619	7235929
1	4347	4343418
2	5062	3369884
3	5938	2963126
4	6798	2712655
5	7666	2547943
6	8446	2404895
7	9133	2274130
8	10018	2216297
9	10731	2135479
10	11500	2079497
11	12363	2048140
12	13030	1991712
13	13824	1961136
14	14649	1938643
15	15441	1914775
16	16087	1876546
17	16741	1843453
18	17394	1813553
19	18041	1786149
20	18690	1761384
21	19340	1738923
22	19997	1718933
23	20639	1699280
24	21336	1685600
25	22031	1672715
26	22693	1658303
27	23362	1645378
28	24021	1632647
29	24687	1621130
30	25344	1609798
31	26003	1599190
32	26660	1589149
33	27325	1580036
34	27996	1571783
35	28650	1563050
36	29319	1555507
37	29986	1548229
38	30651	1541202
39	31313	1534370
40	31967	1527435
41	32625	1520978
42	33277	1514520
43	33917	1507790
44	34557	1501327
45	35223	1496224
46	35892	1491437
47	36548	1486324
48	37216	1481820
49	37890	1477717
50	38550	1473247
51	39214	1469049
52	39879	1464994
53	40532	1460668
54	41180	1456295
55	41846	1452663
56	42494	1448537
57	43143	1444568
58	43812	1441363
59	44484	1438342
60	45149	1435165
61	45812	1432001
62	46460	1428462
63	47105	1424947
64	47750	1421500
65	48415	1418712
66	49079	1415981
67	49735	1413084
68	50392	1410257
69	51057	1407737
70	51702	1404708
71	52351	1401854
72	53014	1399425
73	53660	1396635
74	54301	1393739
75	54945	1390992
76	55616	1388961
77	56273	1386626
78	56933	1384417
79	57593	1382246
80	58235	1379671
81	58883	1377304
82	59539	1375152
83	60189	1372897
84	60856	1371068
85	61518	1369134
86	62196	1367601
87	62874	1366082
88	63548	1364505
89	64227	1363056
90	64894	1361349
91	65555	1359569
92	66208	1357629
93	66863	1355768
94	67516	1353875
95	68176	1352175
96	68863	1351007
97	69514	1349154
98	70166	1347332
99	70845	1346056
100	71491	1344172
101	72132	1342238
102	72812	1341019
103	73463	1339304
104	74120	1337692
105	74760	1335811
106	75437	1334613
107	76087	1332937
108	76753	1331559
109	77399	1329857
110	78048	1328225
111	78699	1326648
112	79347	1325029
113	79986	1323293
114	80648	1321930
115	81321	1320765
116	81985	1319480
117	82644	1318111
118	83285	1316468
119	83926	1314849
120	84585	1313526
121	85223	1311877
122	85871	1310410
123	86510	1308825
124	87132	1306983
125	87769	1305400
126	88459	1304599
127	89128	1303504
128	89798	1302432
129	90461	1301257
130	91103	1299788
131	91758	1298522
132	92404	1297133
133	93031	1295496
134	93676	1294123
135	94312	1292634
136	94986	1291672
137	95616	1290129
138	96272	1288942
139	96934	1287839
140	97572	1286435
141	98217	1285129
142	98859	1283796
143	99502	1282481
144	100146	1281182
145	100811	1280163
146	101454	1278874
147	102092	1277537
148	102747	1276409
149	103381	1275043
150	104018	1273716
151	104652	1272350
152	105300	1271175
153	105929	1269777
154	106598	1268863
155	107250	1267758
156	107887	1266476
157	108527	1265241
158	109166	1264001
