iter	Passed	Remaining
0	8	16293
1	13	13153
2	16	10931
3	19	9787
4	22	9049
5	25	8602
6	28	8218
7	31	7949
8	35	7755
9	38	7600
10	41	7444
11	44	7331
12	47	7226
13	50	7166
14	53	7099
15	56	7061
16	60	7003
17	63	6957
18	66	6922
19	69	6891
20	72	6866
21	75	6828
22	79	6798
23	82	6773
24	85	6746
25	88	6736
26	91	6707
27	94	6688
28	98	6669
29	101	6655
30	104	6635
31	107	6614
32	110	6599
33	113	6586
34	117	6575
35	120	6554
36	123	6538
37	126	6520
38	129	6509
39	132	6502
40	136	6499
41	139	6484
42	142	6474
43	145	6465
44	148	6455
45	151	6455
46	155	6448
47	158	6436
48	161	6428
49	164	6423
50	167	6412
51	170	6405
52	176	6465
53	179	6459
54	182	6452
55	185	6447
56	188	6438
57	192	6438
58	195	6432
59	198	6427
60	202	6425
61	205	6421
62	208	6414
63	211	6407
64	215	6401
65	218	6399
66	221	6396
67	224	6389
68	227	6377
69	231	6374
70	234	6373
71	237	6369
72	240	6360
73	244	6358
74	247	6349
75	250	6343
76	253	6337
77	256	6331
78	260	6326
79	263	6317
80	266	6312
81	269	6304
82	272	6297
83	275	6290
84	278	6284
85	282	6282
86	285	6276
87	288	6274
88	291	6266
89	294	6260
90	298	6256
91	301	6250
92	304	6243
93	307	6238
94	310	6230
95	314	6229
96	317	6225
97	320	6222
98	323	6219
99	327	6215
100	330	6211
101	333	6206
102	336	6199
103	339	6197
104	343	6193
105	346	6191
106	349	6185
107	352	6179
108	355	6170
109	358	6167
110	362	6161
111	364	6152
112	368	6157
113	371	6153
114	375	6147
115	378	6141
116	381	6135
117	384	6133
118	387	6127
119	390	6122
120	394	6120
121	397	6116
122	400	6106
123	403	6102
124	406	6095
125	409	6091
126	412	6087
127	415	6082
128	419	6079
129	422	6073
130	425	6070
131	428	6064
132	431	6060
133	434	6056
134	437	6050
135	441	6046
136	444	6039
137	447	6035
138	450	6031
139	453	6027
140	456	6022
141	459	6018
142	463	6013
143	466	6007
144	469	6003
145	472	6002
146	475	5996
147	478	5991
148	482	5988
149	485	5982
150	488	5977
151	491	5972
152	494	5967
153	497	5962
154	500	5956
155	503	5951
156	506	5946
157	509	5943
158	512	5936
159	516	5934
160	519	5932
161	522	5926
162	525	5920
163	528	5916
164	531	5911
165	534	5906
166	537	5900
167	540	5898
168	544	5894
169	547	5890
170	550	5888
171	553	5883
172	556	5879
173	559	5873
174	562	5870
175	566	5871
176	569	5868
177	573	5865
178	576	5860
179	579	5857
180	582	5852
181	585	5848
182	588	5844
183	591	5840
184	594	5835
185	598	5832
186	601	5828
187	603	5820
188	607	5817
189	610	5811
190	613	5807
191	616	5802
192	619	5799
193	622	5797
194	625	5793
195	629	5790
196	632	5788
197	635	5784
198	638	5780
199	641	5777
200	645	5775
201	648	5773
202	651	5770
203	655	5767
204	658	5764
205	661	5761
206	664	5755
207	667	5751
208	670	5748
209	673	5744
210	677	5742
211	680	5738
212	683	5732
213	686	5729
214	689	5726
215	693	5723
216	696	5720
217	699	5715
218	702	5711
219	705	5707
220	708	5704
221	711	5700
222	714	5696
223	717	5692
224	721	5688
225	724	5684
226	727	5679
227	730	5677
228	733	5674
229	736	5670
230	740	5668
231	743	5663
232	746	5661
233	749	5656
234	752	5651
235	755	5648
236	758	5644
237	762	5644
238	765	5639
239	768	5637
240	771	5633
241	775	5630
242	778	5625
243	781	5621
244	784	5622
245	788	5619
246	791	5615
247	794	5612
248	797	5608
249	800	5604
250	803	5601
251	807	5598
252	810	5594
253	813	5591
254	816	5587
255	819	5584
256	822	5578
257	825	5574
258	828	5572
259	832	5569
260	835	5566
261	838	5562
262	841	5559
263	844	5555
264	847	5550
265	850	5547
