iter	MultiRMSE
0	2.982080944
1	2.906596755
2	2.833749354
3	2.762745352
4	2.693980924
5	2.627785651
6	2.564155924
7	2.501797201
8	2.441696808
9	2.383853334
10	2.327648301
11	2.273178244
12	2.220775621
13	2.169951014
14	2.120991875
15	2.073385265
16	2.028461034
17	1.984730432
18	1.942769121
19	1.902220028
20	1.862780223
21	1.824489615
22	1.787450929
23	1.751934884
24	1.718038743
25	1.685680381
26	1.653708298
27	1.623614533
28	1.594166794
29	1.565816874
30	1.537820577
31	1.511477688
32	1.486423743
33	1.462303685
34	1.439084228
35	1.416915243
36	1.395698988
37	1.375132349
38	1.355348745
39	1.336468041
40	1.317927581
41	1.300498257
42	1.282514344
43	1.26519707
44	1.250259465
45	1.23496457
46	1.219852872
47	1.204927111
48	1.190995035
49	1.177416754
50	1.164776503
51	1.153069975
52	1.141854917
53	1.130277549
54	1.119953046
55	1.10955924
56	1.09919034
57	1.089904179
58	1.081674215
59	1.073178736
60	1.065021851
61	1.056476873
62	1.048464236
63	1.040707103
64	1.033409898
65	1.026420564
66	1.019910331
67	1.014258914
68	1.008441222
69	1.002018264
70	0.9972607406
71	0.9915856569
72	0.985994934
73	0.9805129742
74	0.975710193
75	0.9712733627
76	0.9665482784
77	0.9621223461
78	0.9577965611
79	0.9534446751
80	0.9491802201
81	0.9447053745
82	0.9412305193
83	0.9375595552
84	0.9345124735
85	0.931296232
86	0.928247527
87	0.9251787523
88	0.9221482043
89	0.9196555081
90	0.9167943732
91	0.9140063065
92	0.9112227728
93	0.9090731904
94	0.9066191092
95	0.904366756
96	0.9020297732
97	0.8997362317
98	0.8974935723
99	0.8955533043
100	0.8938409043
101	0.8918345699
102	0.8894328655
103	0.8871650252
104	0.8849662291
105	0.8833626594
106	0.8809929652
107	0.8788764979
108	0.8770889641
109	0.8750491146
110	0.8729747379
111	0.8711986471
112	0.8695664147
113	0.8678846436
114	0.8664504217
115	0.8651140223
116	0.8633980066
117	0.8622138555
118	0.8605284108
119	0.8589908622
120	0.8574923798
121	0.8561248608
122	0.8547783161
123	0.8532678817
124	0.8520394952
125	0.85075508
126	0.849188103
127	0.8479769273
128	0.8466994826
129	0.8454247079
130	0.844089591
131	0.8428583782
132	0.8419778436
133	0.8409132614
134	0.8399049338
135	0.8385832986
136	0.8375789988
137	0.8363801301
138	0.835704728
139	0.8348150602
140	0.8338325553
141	0.8328607211
142	0.8321114063
143	0.8311756369
144	0.8301358685
145	0.8289719206
146	0.8280241106
147	0.8267516943
148	0.8258309055
149	0.8247179601
150	0.8240095133
151	0.8227321294
152	0.8221758732
153	0.8213697828
154	0.8202652283
155	0.819204262
156	0.818201592
157	0.8174569701
158	0.8163412904
159	0.8154318267
160	0.8148973234
161	0.8140724411
162	0.8132953568
163	0.8126279297
164	0.812020657
165	0.8112491992
166	0.810496756
167	0.8093663809
168	0.808267152
169	0.8074857686
170	0.8068822518
171	0.8060911287
172	0.8053773584
173	0.8046434836
174	0.80356149
175	0.8031465533
176	0.802305477
177	0.8015301398
178	0.8007063736
179	0.8000887504
180	0.7994652397
181	0.7987548798
182	0.798256875
183	0.797646901
184	0.7970098697
185	0.7964403853
186	0.7958541903
187	0.7950598593
188	0.7943734067
189	0.7937403843
190	0.7931319099
191	0.7924337713
192	0.7919196586
193	0.7913177001
194	0.7909028252
195	0.7902809877
196	0.7895534522
197	0.7885428471
198	0.7879188903
199	0.7874374206
200	0.7867242622
201	0.7859137939
202	0.7857203853
203	0.7853515849
204	0.7847784159
205	0.78427206
206	0.7837303461
207	0.7831591342
208	0.7823549606
209	0.7818703879
210	0.7812589653
211	0.780449171
212	0.7797391974
213	0.7793546941
214	0.7787094879
215	0.7782474453
216	0.7775495191
217	0.7768560491
218	0.776321376
219	0.7759353262
220	0.7753596879
221	0.7748981721
222	0.7743031858
223	0.7738337456
224	0.7733669266
225	0.773025367
226	0.7724199993
227	0.7718229481
228	0.7711793291
229	0.7706473702
230	0.7701353204
231	0.7698164344
232	0.7692559822
233	0.7687934645
234	0.7681479359
235	0.7674605749
236	0.7670035136
237	0.7664938715
238	0.7661801748
239	0.7658350197
240	0.765468078
241	0.7650317514
242	0.7646631402
243	0.7642498262
244	0.7635757477
245	0.763173721
246	0.7624224556
247	0.7619159511
248	0.7612736939
249	0.7607191293
250	0.7601749143
251	0.7595952113
252	0.7591669186
253	0.758838939
254	0.7583727644
255	0.7575056492
256	0.7571937914
257	0.7568159847
258	0.7563384494
259	0.7556657095
260	0.7552616999
261	0.7549638978
262	0.7545790146
263	0.7542746592
264	0.7535873522
265	0.7531806666
266	0.7527238503
267	0.7521748928
268	0.7514345791
269	0.7510158322
270	0.7502680896
271	0.7495974125
272	0.7491269606
273	0.7488375067
274	0.7483163301
275	0.747737482
276	0.7474530072
277	0.7472052065
278	0.7465238333
279	0.7462251968
280	0.7458686988
281	0.7454395963
282	0.7448328231
283	0.7443775284
284	0.7438840634
285	0.7435127442
286	0.7430239496
287	0.7422789222
288	0.7416532401
289	0.7411013888
290	0.7407440708
291	0.7403130906
292	0.739885703
293	0.7394180484
294	0.738808
295	0.7384554663
296	0.7382774126
297	0.737845963
298	0.7372669098
299	0.7369772334
300	0.7365145195
301	0.7361302242
302	0.7358889511
303	0.7352185915
304	0.7346136581
305	0.7338403008
306	0.7330390969
307	0.7327825579
308	0.732222511
309	0.7319200824
310	0.7313139931
311	0.7309196713
312	0.7304721194
313	0.730202843
314	0.7296834468
315	0.7291599353
316	0.7288348593
317	0.7284959367
318	0.7279879691
319	0.7274966797
320	0.727196734
321	0.7265264455
322	0.726267446
323	0.7259413697
324	0.7255337723
325	0.7249515098
326	0.7245403138
327	0.7242169905
328	0.7239111481
329	0.7231834035
330	0.7226077325
331	0.7222820428
332	0.7218654156
333	0.721302383
334	0.720909144
335	0.7204982929
336	0.720157424
337	0.719481115
338	0.7193089563
339	0.7187232504
340	0.7184612975
341	0.7180361418
342	0.7177374951
343	0.7173237698
344	0.7166136423
345	0.7163343277
346	0.7161347692
347	0.7156806482
348	0.7152221467
349	0.7149800321
350	0.7146380705
